pipe_id,node1,node2,length_m,diameter_cad_mm,diameter_mm,material,diameter_from_cad,label_distance_m,peak_tree_flow_lps,flow_lps,velocity_ms,headloss_m_per_km
P286,J234,J235,7.11,50.0,50.0,UNK,False,inf,0.0762,0.0763,0.0388,1e-04
P287,J242,J240,7.04,50.0,50.0,UNK,False,inf,0.0233,0.0233,0.0119,0.0
P288,J242,J247,92.84,100.0,150.0,UNK,False,inf,16.5098,-11.7714,0.6661,0.0049
P289,J243,J242,47.32,100.0,150.0,UNK,False,inf,16.4341,-11.6957,0.6618,0.0048
P290,J244,J243,26.23,100.0,100.0,UNK,False,inf,0.0,4.7385,0.6033,0.0065
P291,J247,J244,73.66,100.0,100.0,UNK,False,inf,0.1572,4.8957,0.6233,0.0069
P292,J244,J245,8.73,50.0,50.0,UNK,False,inf,0.1158,0.1158,0.059,0.0002
P293,J248,J247,44.55,100.0,150.0,UNK,False,inf,16.892,16.892,0.9559,0.0095
P294,J274,J248,95.92,100.0,100.0,UNK,False,inf,0.4225,2.3242,0.2959,0.0017
P295,J252,J249,17.37,50.0,50.0,UNK,False,inf,0.2664,0.2664,0.1357,0.0009
P296,J250,J254,34.56,50.0,50.0,UNK,False,inf,0.1857,-0.1857,0.0946,0.0005
P297,J258,J251,7.17,50.0,50.0,UNK,False,inf,0.1594,0.1595,0.0812,0.0004
P298,J252,J254,90.46,100.0,150.0,UNK,False,inf,24.5293,24.5293,1.3881,0.019
P299,J262,J253,8.62,50.0,50.0,UNK,False,inf,0.1497,0.1497,0.0763,0.0003
P300,J254,J258,49.23,100.0,100.0,UNK,False,inf,1.2334,3.9801,0.5068,0.0047
P301,J266,J255,9.18,50.0,50.0,GI,True,26.8,0.2013,0.2013,0.1025,0.0005
P302,J263,J256,7.04,50.0,50.0,GI,True,59.3,0.1217,0.1217,0.062,0.0002
P303,J257,J268,32.08,50.0,50.0,UNK,False,inf,0.1223,-0.1224,0.0623,0.0002
P304,J258,J260,41.37,100.0,100.0,UNK,False,inf,0.9946,3.7413,0.4764,0.0042
P305,J267,J259,8.34,50.0,50.0,GI,True,31.9,0.1229,0.1229,0.0626,0.0002
P306,J260,J271,12.06,50.0,50.0,UNK,False,inf,0.0548,0.0548,0.0279,0.0
P307,J260,J261,7.36,100.0,100.0,UNK,False,inf,0.9004,3.6471,0.4644,0.004
P308,J261,J269,10.1,50.0,50.0,UNK,False,inf,0.0354,0.0355,0.0181,0.0
P309,J261,J262,13.58,100.0,100.0,UNK,False,inf,0.8584,3.6051,0.459,0.0039
P310,J262,J263,30.28,100.0,100.0,UNK,False,inf,0.6842,3.4309,0.4368,0.0036
P311,J263,J265,19.59,50.0,50.0,GI,True,51.2,0.4777,1.6342,0.8323,0.0226
P312,J263,J264,13.58,50.0,50.0,GI,True,54.0,0.0631,1.6533,0.842,0.0231
P313,J264,J265,6.01,50.0,50.0,GI,True,45.1,0.0,1.5902,0.8099,0.0215
P314,J264,J273,11.81,50.0,50.0,GI,True,50.2,0.0551,0.0551,0.0281,0.0
P315,J265,J266,16.66,50.0,50.0,GI,True,35.5,0.4444,3.1911,1.6252,0.078
P316,J265,J272,8.64,50.0,50.0,GI,True,44.2,0.0256,0.0256,0.013,0.0
P317,J266,J267,46.58,50.0,50.0,GI,True,21.4,0.1958,2.9425,1.4986,0.0671
P318,J267,J268,21.25,50.0,50.0,GI,True,42.6,0.0,2.7467,1.3989,0.0591
P319,J268,J270,49.44,100.0,100.0,UNK,False,inf,0.1888,2.5578,0.3257,0.0021
P320,J270,J274,14.06,100.0,100.0,UNK,False,inf,0.2573,1.2671,0.1613,0.0006
P321,J270,J274,15.03,100.0,100.0,UNK,False,inf,0.0,1.2223,0.1556,0.0005
P322,J274,J275,10.58,50.0,50.0,UNK,False,inf,0.103,0.103,0.0525,0.0002
