pipe_id,node1,node2,length_m,diameter_cad_mm,diameter_mm,material,diameter_from_cad,label_distance_m,peak_tree_flow_lps,flow_lps,velocity_ms,headloss_m_per_km
P79,J70,J66,6.95,100.0,100.0,UNK,False,inf,0.0,2.354,0.2997,0.0018
P80,J68,J82,15.2,100.0,100.0,UNK,False,inf,0.0,-5.1885,0.6606,0.0077
P81,J70,J68,2.49,100.0,100.0,UNK,False,inf,3.4615,1.3536,0.1723,0.0006
P82,J75,J69,11.69,50.0,50.0,UNK,False,inf,0.2448,0.2448,0.1247,0.0008
P83,J94,J70,103.34,100.0,100.0,UNK,False,inf,3.498,3.7441,0.4767,0.0042
P84,J71,J73,35.95,100.0,100.0,UNK,False,inf,0.5236,-0.1678,0.0214,0.0
P85,J71,J73,8.64,100.0,100.0,UNK,False,inf,0.0,-0.3558,0.0453,1e-04
P86,J88,J72,19.35,50.0,50.0,UNK,False,inf,0.0608,0.0608,0.031,1e-04
P87,J73,J105,172.29,300.0,300.0,CI,True,17.6,51.8823,51.8823,0.734,0.0031
P88,J84,J74,11.31,50.0,50.0,CI,True,19.3,0.0881,-0.0881,0.0449,1e-04
P89,J74,J77,21.38,300.0,300.0,CI,True,14.3,0.0,-0.7048,0.01,0.0
P90,J74,J78,21.43,300.0,300.0,CI,True,14.1,1.4836,-0.7788,0.011,0.0
P91,J75,J79,5.31,100.0,100.0,UNK,False,inf,0.235,0.235,0.0299,0.0
P92,J78,J77,0.52,300.0,300.0,CI,True,11.8,0.099,2.2343,0.0316,0.0
P93,J77,J100,97.88,150.0,150.0,,True,16.4,0.0,1.4305,0.0809,1e-04
P94,J89,J78,10.56,50.0,50.0,CI,True,6.8,0.1727,-0.1728,0.088,0.0005
P95,J78,J105,106.46,150.0,150.0,,True,16.4,1.7691,-3.1996,0.1811,0.0004
P96,J79,J125,110.71,40.0,40.0,,True,50.6,0.1446,0.1446,0.115,0.0009
P97,J79,J80,7.07,50.0,50.0,UNK,False,inf,0.0584,0.0584,0.0297,1e-04
P98,J98,J81,20.83,50.0,50.0,UNK,False,inf,0.0449,0.0449,0.0229,0.0
P99,J82,J87,19.67,100.0,100.0,UNK,False,inf,0.9021,-1.9459,0.2478,0.0013
P100,J82,J87,15.87,100.0,100.0,UNK,False,inf,0.0,-2.185,0.2782,0.0016
P101,J91,J82,11.3,100.0,100.0,UNK,False,inf,0.6691,1.2906,0.1643,0.0006
P102,J91,J83,49.5,50.0,50.0,UNK,False,inf,0.5729,0.5729,0.2918,0.0038
P103,J85,J90,23.28,50.0,50.0,CI,True,23.5,0.062,-0.062,0.0316,1e-04
P104,J86,J95,10.83,50.0,50.0,UNK,False,inf,0.005,-0.005,0.0026,0.0
P105,J87,J101,85.86,100.0,100.0,UNK,False,inf,1.1466,-3.2218,0.4102,0.0032
P106,J87,J97,11.47,100.0,100.0,UNK,False,inf,0.1965,-0.957,0.1219,0.0003
P107,J88,J98,24.79,100.0,100.0,UNK,False,inf,0.2919,-0.2919,0.0372,0.0
P108,J121,J90,46.81,75.0,100.0,CI,True,28.0,10.5581,11.547,1.4702,0.0404
P109,J90,J104,63.02,75.0,75.0,CI,True,44.2,0.0,0.9889,0.2238,0.0017
P110,J95,J91,15.13,100.0,100.0,UNK,False,inf,0.0,1.9597,0.2495,0.0013
P111,J91,J99,9.86,50.0,50.0,UNK,False,inf,0.0837,0.0837,0.0426,1e-04
P112,J92,J112,39.3,50.0,50.0,UNK,False,inf,0.0564,-0.0564,0.0287,1e-04
P113,J104,J93,16.34,50.0,50.0,UNK,False,inf,0.0647,0.0647,0.033,1e-04
P114,J100,J94,65.3,100.0,150.0,UNK,False,inf,13.4661,10.8818,0.6158,0.0042
P115,J101,J94,9.88,100.0,100.0,UNK,False,inf,0.0,-2.6041,0.3316,0.0021
P116,J97,J95,2.09,100.0,100.0,UNK,False,inf,0.0113,1.971,0.251,0.0013
P117,J112,J96,36.29,50.0,50.0,UNK,False,inf,0.1121,0.1121,0.0571,0.0002
P118,J97,J102,22.59,100.0,100.0,UNK,False,inf,0.0,-1.5566,0.1982,0.0008
P119,J102,J97,22.59,100.0,100.0,UNK,False,inf,0.0,1.5566,0.1982,0.0008
P120,J97,J130,78.54,50.0,50.0,UNK,False,inf,0.1747,0.1747,0.0889,0.0004
P121,J98,J112,47.67,100.0,100.0,UNK,False,inf,0.4157,-0.4157,0.0529,1e-04
P122,J100,J106,10.54,150.0,150.0,,True,49.9,13.7637,-9.7488,0.5517,0.0034
P123,J101,J107,60.02,100.0,100.0,UNK,False,inf,1.7282,-4.3125,0.5491,0.0055
P124,J109,J101,34.28,100.0,100.0,UNK,False,inf,0.5275,-3.6407,0.4635,0.004
P125,J109,J102,35.89,100.0,100.0,UNK,False,inf,0.1038,3.2169,0.4096,0.0032
P126,J102,J113,17.42,50.0,50.0,UNK,False,inf,0.0509,0.051,0.0259,0.0
P127,J111,J103,13.54,50.0,50.0,UNK,False,inf,0.0507,0.0507,0.0258,0.0
P128,J104,J111,38.69,100.0,100.0,UNK,False,inf,0.1424,0.8465,0.1078,0.0003
P129,J105,J106,1.54,150.0,150.0,,True,53.5,15.5338,19.9203,1.1273,0.0129
P130,J105,J110,4.22,150.0,200.0,,True,54.5,34.5595,28.7426,0.9149,0.0063
P131,J106,J107,5.63,150.0,150.0,,True,56.7,1.7656,4.3445,0.2459,0.0008
P132,J106,J108,3.27,150.0,150.0,,True,55.5,0.0034,5.8257,0.3297,0.0013
P133,J108,J107,5.07,150.0,150.0,,True,58.0,0.0,0.0054,0.0003,0.0
P134,J110,J108,1.7,150.0,150.0,,True,56.5,0.0,-5.8169,0.3292,0.0013
P135,J127,J109,74.8,50.0,50.0,UNK,False,inf,0.2649,-0.2649,0.1349,0.0009
P136,J109,J117,10.85,50.0,50.0,UNK,False,inf,0.1141,0.1141,0.0581,0.0002
