node_id,x,y,degree,node_type,elevation_m,demand_lps,service_area_m2,pressure_m,head_m,cluster,f1_topology,dma_mean_elev,f2_elevation,dma_p_lo,dma_p_hi,f3_pressure,dma_mean_demand,f4_demand,passed,selected
J175,280849.83,2116058.189,1,dead_end,49.66,0.06765,4060.6,33.01,82.67,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,True,False,False
J176,280852.726,2116808.098,1,dead_end,54.6,0.17377,10429.4,38.12,92.72,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,True,True,True
J177,280854.385,2116128.163,1,dead_end,49.53,0.02347,1408.7,33.38,82.91,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J178,280854.899,2117243.156,1,dead_end,56.72,0.02315,1389.5,48.79,105.51,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,False,False,False
J179,280855.403,2116324.931,3,junction,51.84,0.00516,309.6,32.91,84.75,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J180,280860.357,2116880.982,1,dead_end,55.38,0.21448,12873.2,37.22,92.6,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,True,True,True
J181,280863.063,2116311.81,1,dead_end,51.86,0.05629,3378.7,32.88,84.74,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,True,False,False
J182,280865.664,2116325.253,3,junction,51.85,0.00327,196.2,32.9,84.75,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J183,280870.599,2116325.408,3,junction,51.86,0.07692,4617.0,32.88,84.74,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,True,False,False
J184,280874.915,2116063.288,3,junction,49.29,0.0461,2766.8,34.54,83.83,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,True,False,False
J185,280875.778,2116633.391,1,dead_end,52.55,0.4453,26726.7,15.0,67.55,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,True,True,True
J186,280879.905,2116843.135,3,junction,54.7,0.05242,3146.1,38.09,92.79,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,False,False,False
J187,280882.411,2116805.274,3,junction,54.52,0.02756,1654.2,38.27,92.79,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,False,False,False
J188,280884.627,2116770.783,4,junction,54.52,0.09754,5854.3,38.28,92.8,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,True,True,True
J189,280884.647,2116773.514,4,junction,54.52,0.01167,700.5,38.28,92.8,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,False,False,False
J190,280889.54,2117217.11,4,junction,57.55,0.02096,1257.7,48.06,105.61,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,False,False,False
J191,280889.819,2116152.531,4,junction,49.96,0.0241,1446.4,35.85,85.81,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J192,280894.507,2116216.576,1,dead_end,50.52,0.08861,5318.3,34.14,84.66,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,True,False,False
J193,280896.209,2116151.69,1,dead_end,50.05,0.00319,191.7,35.76,85.81,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J194,280900.96,2117178.329,1,dead_end,56.93,0.08873,5325.3,49.93,106.86,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,True,False,False
J195,280903.4,2116146.03,3,junction,50.05,0.00591,354.7,35.9,85.95,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J196,280903.566,2117217.565,3,junction,57.55,0.00575,345.0,48.95,106.5,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,False,False,False
J197,280904.782,2117067.183,1,dead_end,54.65,0.32946,19774.0,51.06,105.71,2,True,54.91976744186047,False,49.51,58.98,False,0.062293604651162786,True,False,False
J198,280910.801,2116149.042,4,junction,50.05,0.0074,444.3,35.96,86.01,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,False,False,False
J199,280912.029,2116167.387,1,dead_end,50.07,0.02868,1721.6,35.94,86.01,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,False,False,False
J200,280912.229,2117229.112,1,dead_end,57.34,0.01529,917.7,49.28,106.62,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,False,False,False
J201,280912.609,2116772.975,3,junction,53.69,0.0207,1242.3,39.18,92.87,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J202,280912.617,2117217.858,3,junction,57.39,0.00707,424.2,49.23,106.62,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,False,False,False
J203,280913.026,2116138.516,1,dead_end,50.0,0.05159,3096.5,36.0,86.0,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,True,True,True
J204,280917.428,2116773.162,4,junction,53.69,0.02862,1718.0,39.18,92.87,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J205,280918.191,2116775.826,4,junction,53.69,0.02564,1539.1,39.21,92.9,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J206,280921.983,2116928.834,1,dead_end,53.87,0.28,16805.5,51.01,104.88,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,True,True,True
J207,280931.515,2117239.278,3,junction,57.32,0.00627,376.2,49.59,106.91,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J208,280932.233,2117247.547,1,dead_end,57.4,0.02545,1527.8,49.51,106.91,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,False,False,False
J209,280933.411,2117220.444,4,junction,57.21,0.00339,203.7,49.7,106.91,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J210,280933.604,2117218.532,3,junction,57.21,0.00577,346.5,49.7,106.91,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J211,280934.288,2117218.572,4,junction,57.21,0.00554,332.7,49.7,106.91,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J212,280945.011,2117338.524,1,dead_end,63.58,0.09242,5547.3,41.92,105.5,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,True,True,True
J213,280949.722,2117276.657,1,dead_end,59.42,0.05677,3407.4,47.57,106.99,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,False,False,False
J214,280954.786,2117219.228,4,junction,56.91,0.01127,676.2,50.1,107.01,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J215,280956.373,2116202.371,4,junction,50.65,0.02224,1334.9,35.96,86.61,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,False,False,False
J216,280965.103,2117400.663,1,dead_end,66.61,0.10475,6287.2,43.17,109.78,2,True,54.91976744186047,True,49.51,58.98,True,0.062293604651162786,True,True,True
J217,280965.31,2116194.362,1,dead_end,50.65,0.04506,2704.4,35.96,86.61,5,True,48.44123456790123,True,32.49,35.96,True,0.043671728395061726,True,True,True
J218,280965.879,2116229.206,1,dead_end,50.98,0.06305,3784.2,35.62,86.6,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,True,False,False
J219,280965.902,2116862.836,1,dead_end,53.61,0.15501,9303.7,39.71,93.32,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,True,False,False
J220,280969.149,2116677.53,1,dead_end,54.43,0.23449,14074.4,36.44,90.87,4,True,50.87396226415095,True,38.28,46.39,True,0.08871490566037735,True,True,True
J221,280969.879,2117194.563,1,dead_end,56.92,0.06169,3702.9,50.19,107.11,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J222,280969.879,2117219.667,4,junction,56.64,0.00595,357.3,50.48,107.12,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J223,280970.614,2116828.403,3,junction,53.69,0.03212,1927.7,39.7,93.39,4,True,50.87396226415095,True,38.28,46.39,False,0.08871490566037735,False,False,False
J224,280971.373,2117219.71,4,junction,56.64,0.00976,585.8,50.48,107.12,2,True,54.91976744186047,True,49.51,58.98,False,0.062293604651162786,False,False,False
J225,280974.249,2116367.113,1,dead_end,51.72,0.13392,8037.9,32.98,84.7,5,True,48.44123456790123,True,32.49,35.96,False,0.043671728395061726,True,False,False
